taskName,studentName,studentId,pending,deadline
Task2,Elaine,S005,Completed,2024-03-16
Task6,Alys,S006,Completed,2024-03-21
Task3,Madelaine,S007,Pending,2024-03-15
Task3,Korney,S008,Completed,2024-03-23
Task6,Olenolin,S009,Pending,2024-03-22
Task7,Tessi,S010,Completed,2024-03-29
Task1,Heddi,S011,Completed,2024-03-30
Task4,Morton,S012,Completed,2024-03-27
Task3,Cleon,S013,Pending,2024-03-22
Task1,Durand,S014,Pending,2024-03-21
Task2,Giffie,S015,Completed,2024-03-16
Task1,Berton,S016,Completed,2024-03-18
